Loop Step: 0.0310 | Loop Time: 4.32 | Pressure: -2.41 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 4.97 | Pressure: 0.17 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.00 | Pressure: 0.24 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.03 | Pressure: -2.48 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.07 | Pressure: 1.77 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 5.10 | Pressure: 2.44 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.13 | Pressure: 2.90 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.16 | Pressure: 3.06 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.19 | Pressure: 2.85 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.22 | Pressure: 2.76 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.25 | Pressure: 2.97 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.28 | Pressure: 3.04 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.31 | Pressure: 2.94 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.34 | Pressure: 0.09 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.38 | Pressure: 3.04 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.41 | Pressure: 3.18 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.44 | Pressure: 3.18 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.47 | Pressure: 3.11 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.50 | Pressure: 3.23 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.53 | Pressure: 3.38 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.56 | Pressure: 3.37 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.59 | Pressure: 3.27 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.62 | Pressure: 3.38 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.66 | Pressure: 3.49 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.69 | Pressure: 3.50 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.72 | Pressure: 3.50 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.75 | Pressure: 3.53 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.78 | Pressure: 3.60 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.81 | Pressure: 3.63 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.84 | Pressure: 3.72 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.87 | Pressure: 3.71 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.90 | Pressure: 3.76 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.93 | Pressure: 3.81 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 5.96 | Pressure: 3.86 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.00 | Pressure: 3.84 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.03 | Pressure: 3.89 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.06 | Pressure: 1.52 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.09 | Pressure: 4.11 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.12 | Pressure: 4.04 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.15 | Pressure: 3.99 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.18 | Pressure: 4.10 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.21 | Pressure: 4.12 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.24 | Pressure: 4.15 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.28 | Pressure: 4.22 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.31 | Pressure: 4.23 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.34 | Pressure: 4.23 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.37 | Pressure: 3.85 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.40 | Pressure: 4.38 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.43 | Pressure: 4.30 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.46 | Pressure: 4.33 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.49 | Pressure: 4.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.52 | Pressure: 4.29 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.55 | Pressure: 4.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.58 | Pressure: 4.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.62 | Pressure: 4.39 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.65 | Pressure: 4.47 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.68 | Pressure: 3.27 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.71 | Pressure: 4.51 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.74 | Pressure: 4.56 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.77 | Pressure: 4.56 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.80 | Pressure: 4.70 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.83 | Pressure: 4.78 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.86 | Pressure: 4.76 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.89 | Pressure: 4.79 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.93 | Pressure: 4.86 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.96 | Pressure: 4.93 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 6.99 | Pressure: 4.88 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.02 | Pressure: 5.00 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.05 | Pressure: 4.95 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.08 | Pressure: 5.25 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.11 | Pressure: 2.41 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.14 | Pressure: 5.09 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.17 | Pressure: 5.19 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.21 | Pressure: 5.29 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.24 | Pressure: 5.25 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.27 | Pressure: 5.31 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.30 | Pressure: 5.35 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.33 | Pressure: 5.47 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.36 | Pressure: 5.50 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.39 | Pressure: 2.67 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.42 | Pressure: 5.52 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.45 | Pressure: 5.63 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.48 | Pressure: 5.62 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.51 | Pressure: 5.64 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.55 | Pressure: 5.71 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.58 | Pressure: 5.82 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.61 | Pressure: 5.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.64 | Pressure: 5.86 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.67 | Pressure: 5.87 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.70 | Pressure: 3.27 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.73 | Pressure: 6.00 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.76 | Pressure: 6.01 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.79 | Pressure: 6.11 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.83 | Pressure: 6.17 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.86 | Pressure: 3.43 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.89 | Pressure: 6.25 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.92 | Pressure: 6.26 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.95 | Pressure: 6.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 7.98 | Pressure: 6.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.01 | Pressure: 6.35 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.04 | Pressure: 6.46 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.07 | Pressure: 6.47 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.10 | Pressure: 6.48 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.13 | Pressure: 6.64 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.17 | Pressure: 6.67 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.20 | Pressure: 6.68 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.23 | Pressure: 6.72 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.26 | Pressure: 6.80 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.29 | Pressure: 6.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.32 | Pressure: 6.82 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.35 | Pressure: 6.78 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.38 | Pressure: 6.96 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.41 | Pressure: 4.41 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.45 | Pressure: 7.03 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.48 | Pressure: 4.22 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.51 | Pressure: 4.38 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.54 | Pressure: 7.11 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.57 | Pressure: 7.18 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.60 | Pressure: 7.20 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.63 | Pressure: 7.33 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.66 | Pressure: 7.29 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.69 | Pressure: 7.34 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.72 | Pressure: 4.75 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.76 | Pressure: 7.38 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.79 | Pressure: 7.37 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.82 | Pressure: 7.32 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.85 | Pressure: 7.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.88 | Pressure: 7.25 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.91 | Pressure: 7.40 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.94 | Pressure: 7.36 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 8.97 | Pressure: 7.37 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.00 | Pressure: 7.46 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.03 | Pressure: 6.44 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.06 | Pressure: 7.31 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.10 | Pressure: 6.84 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.13 | Pressure: 7.29 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.16 | Pressure: 7.27 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.19 | Pressure: 7.30 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.22 | Pressure: 7.35 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.25 | Pressure: 7.39 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.28 | Pressure: 7.31 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.31 | Pressure: 7.33 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.34 | Pressure: 7.44 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.38 | Pressure: 7.47 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.41 | Pressure: 7.39 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.44 | Pressure: 5.06 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.47 | Pressure: 7.47 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.50 | Pressure: 7.53 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.53 | Pressure: 7.54 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.56 | Pressure: 7.49 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.59 | Pressure: 7.60 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.62 | Pressure: 7.68 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.65 | Pressure: 7.63 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.69 | Pressure: 7.68 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.72 | Pressure: 7.78 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.75 | Pressure: 5.46 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.78 | Pressure: 7.84 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.81 | Pressure: 7.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.84 | Pressure: 7.83 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.87 | Pressure: 7.82 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.90 | Pressure: 7.85 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.93 | Pressure: 7.99 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.96 | Pressure: 7.94 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 9.99 | Pressure: 8.05 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 10.03 | Pressure: 8.06 | Solenoid: PRESSURIZE
Loop Step: 0.0310 | Loop Time: 10.06 | Pressure: 6.82 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.09 | Pressure: 8.07 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.12 | Pressure: 8.21 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.15 | Pressure: 8.41 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.19 | Pressure: 8.31 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.22 | Pressure: 8.45 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.25 | Pressure: 8.43 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.28 | Pressure: 8.47 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.31 | Pressure: 8.51 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.35 | Pressure: 8.49 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.38 | Pressure: 8.58 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.41 | Pressure: 8.55 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.44 | Pressure: 8.67 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.47 | Pressure: 8.69 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.51 | Pressure: 8.79 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.54 | Pressure: 8.86 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.57 | Pressure: 6.46 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.60 | Pressure: 8.95 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.63 | Pressure: 8.97 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.66 | Pressure: 7.56 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.70 | Pressure: 9.15 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.73 | Pressure: 9.21 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.76 | Pressure: 9.31 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.79 | Pressure: 9.36 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.82 | Pressure: 9.44 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.86 | Pressure: 9.55 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.89 | Pressure: 9.62 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.92 | Pressure: 9.68 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.95 | Pressure: 9.76 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 10.98 | Pressure: 9.85 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.02 | Pressure: 9.87 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.05 | Pressure: 9.87 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.08 | Pressure: 8.85 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.11 | Pressure: 10.14 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.14 | Pressure: 10.17 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.18 | Pressure: 9.22 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.21 | Pressure: 10.27 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.24 | Pressure: 10.38 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.27 | Pressure: 10.48 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.30 | Pressure: 10.53 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.34 | Pressure: 10.64 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.37 | Pressure: 10.61 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.40 | Pressure: 10.72 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.43 | Pressure: 9.79 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.46 | Pressure: 10.77 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.50 | Pressure: 10.85 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.53 | Pressure: 10.93 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.56 | Pressure: 11.01 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.59 | Pressure: 10.11 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.62 | Pressure: 11.15 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.66 | Pressure: 11.20 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.69 | Pressure: 9.45 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.72 | Pressure: 11.31 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.75 | Pressure: 11.40 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.79 | Pressure: 11.46 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.82 | Pressure: 11.43 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.85 | Pressure: 11.65 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.88 | Pressure: 11.66 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.91 | Pressure: 11.75 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.95 | Pressure: 11.88 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 11.98 | Pressure: 12.01 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.01 | Pressure: 12.08 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.04 | Pressure: 12.27 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.07 | Pressure: 12.26 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.11 | Pressure: 11.32 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.14 | Pressure: 12.46 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.17 | Pressure: 12.50 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.20 | Pressure: 10.81 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.23 | Pressure: 12.80 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.27 | Pressure: 12.92 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.30 | Pressure: 12.97 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.33 | Pressure: 13.06 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.36 | Pressure: 13.10 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.39 | Pressure: 13.19 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.43 | Pressure: 13.39 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.46 | Pressure: 13.43 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.49 | Pressure: 13.54 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.52 | Pressure: 13.69 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.55 | Pressure: 13.69 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.59 | Pressure: 13.83 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.62 | Pressure: 11.76 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.65 | Pressure: 14.13 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.68 | Pressure: 14.22 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.71 | Pressure: 12.52 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.74 | Pressure: 14.32 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.78 | Pressure: 14.59 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.81 | Pressure: 14.67 | Solenoid: PRESSURIZE
Loop Step: 0.0320 | Loop Time: 12.84 | Pressure: 14.65 | Solenoid: PRESSURIZE
